lat,lon,Id,cycloid_number,cusp_id,orientation_original,orientation_translated,stress,max_stress,slope,is_increasing,max_slope,min_slope,median_positive_slope,slope_to_max,slope_to_median_positive,stress_plot,cusp_direction,phase,obliquity
45.386,351.386,1,1,1,113.8698074,293.8698074,40.999222796857886,76.16334230592193,-0.21840749070386592,False,2.6572113119267873,-1.5952773023333617,0.9711886464107491,-0.08219424993546903,-0.2248867833361119,,left,0,0.25
45.428000000000004,351.301,2,1,2,62.73258391,242.73258391000002,68.73233933258473,76.25575763015696,-1.0496148989330663,False,2.6546036413124616,-1.588615451641028,0.969370317145559,-0.39539420597423974,-1.0827801103130517,,left,0,0.25
41.65,354.153,1,2,4,127.00252649999999,307.0025265,38.341354380326095,72.81006677112129,-1.0720148420113063,False,3.0910569928974736,-2.2151987426819115,0.99441788576714,-0.3468117360742768,-1.0780325428120237,,left,0,0.25
35.02,349.844,1,3,6,147.7632134,327.76321340000004,-10.956785043003059,78.09815193074182,-2.2730866226831004,False,4.60284787611467,-3.656318693654177,0.9869605794075301,-0.4938435255439824,-2.3031179462584292,,left,0,0.25
48.648,333.05,1,4,7,138.4473869,318.44738689999997,27.504319336207015,91.76754525732751,-0.6807268693134996,False,2.5994094899891858,-1.507646008456968,1.0412803176021244,-0.26187750407740934,-0.6537402636026842,,left,0,0.25
-38.622,332.676,1,5,8,103.9283419,283.9283419,69.23674319126016,72.89763953351034,-1.3817428981019972,False,1.5411371337945194,-2.478841519160809,0.5081323608687853,-0.8965736194415945,-2.719257824358098,,left,0,0.25
-41.663999999999994,344.421,1,6,9,202.9321004,202.9321004,41.40285801476307,58.30321660245096,1.6448741370339144,True,1.9045458880982031,-2.1356356786175557,0.4458710390771801,0.8636568681873107,3.689125313988351,,left,0,0.25
-38.024,340.691,2,6,10,198.4349488,198.4349488,31.018678252902834,64.49762535016099,2.0770789137765573,True,2.1420507429283324,-2.664517112834779,0.4343508869281988,0.9696683986753021,4.782029866373711,,left,0,0.25
-35.107,337.956,3,6,11,202.16634580000002,202.16634580000002,37.47762726764125,69.47634804858397,1.5385680821243246,True,2.3932808483504693,-3.1149500554036917,0.4531152193691114,0.6428698425363485,3.3955338870906346,,left,0,0.25
-31.904,335.093,4,6,12,199.79887639999998,199.79887639999998,34.28347201265803,74.96443081816098,1.8281831841236762,True,2.7302583954131285,-3.6399370554958748,0.5333162265577855,0.6696007920697356,3.427953422537745,,left,0,0.25
